,Season,Date,Guests
802,S06E09,2008-09-18,Benjamin Bratt/Nelly/Akon/Ashanti
803,S06E10,2008-09-19,Neil Patrick Harris/Betty White
804,S06E11,2008-09-22,Dolly Parton/Simon Baker/Heather Brammer
805,S06E12,2008-09-23,Allison Janney/Wolfgang Puck/The Pussycat Dolls
806,S06E13,2008-09-24,Sharon Osbourne/Michelle Monaghan
807,S06E14,2008-09-25,Eric Dane/Kid Rock
808,S06E15,2008-09-26,Shia LaBeouf/Rosie Perez/Mario Lopez
809,S06E16,2008-09-29,Lauren Graham/Lance Bass/Lacey Schwimmer
810,S06E17,2008-09-30,Lucy Liu/Steve Spangler/Joshua Radin
811,S06E18,2008-10-01,Suzzane Somers/Demi Lovato
812,S06E19,2008-10-02,George Lopez/Jack Hanna
813,S06E20,2008-10-03,Jenny McCarthy/Amy MacDonald/Connie Talbot
814,S06E21,2008-10-06,Julia Louis-Dreyfus/Maurice Greene/Cheryl Burke
815,S06E22,2008-10-07,Paris Hilton/Kanye West/Regina and Maya Pitts
816,S06E23,2008-10-08,Taye Diggs/Audrina Patridge/Kanye West
817,S06E24,2008-10-09,Harry Connick Jr./Chris Brown/Zachary Levi
818,S06E25,2008-10-10,Christina Applegate/Sheryl Crow
819,S06E26,2008-10-13,Mark Wahlberg/Cody Linley/Julianne Hough
820,S06E27,2008-10-14,Dennis Quaid/Jesse McCartney/Isaac Mizrahi
821,S06E28,2008-10-15,Dakota Fanning/Misty-May Treanor
822,S06E29,2008-10-16,Lisa Kudrow/Natasha Bedingfield/Jalen Testerman
823,S06E30,2008-10-17,Nicole Richie/Kenny Chesney
824,S06E31,2008-10-20,Colin Farrell/Joe Biden/Toni Braxton
825,S06E32,2008-10-21,Kristin Chenoweth/Robin Thicke
826,S06E33,2008-10-22,Christian Slater/Mila Kunis/Jason Mraz
827,S06E34,2008-10-23,Hayden Panettiere
828,S06E35,2008-10-24,Vanessa Hudgens/Warren Sapp/Kym Johnson
829,S06E36,2008-10-27,Hilary Swank/Bonnie Hunt/Warren Sapp
830,S06E37,2008-10-28,Chris Rock/Elizabeth Banks
831,S06E38,2008-10-29,Jennifer Love Hewitt/Ashley Tisdale/Kellie Pickler
832,S06E39,2008-10-30,Zac Efron/Paris Hilton
833,S06E40,2008-10-31,Wanda Sykes
834,S06E41,2008-11-03,Cher/Pussycat Dolls/Missy Elliott
835,S06E42,2008-11-05,Patrick Dempsey/Tione Johnson
836,S06E43,2008-11-06,Samuel L. Jackson
837,S06E44,2008-11-07,John Legend/Kym Douglas
838,S06E45,2008-11-10,Heidi Klum/Seann William Scott/Susan Lucci
839,S06E46,2008-11-11,Taylor Swift/Justin Timberlake
840,S06E47,2008-11-12,Emma Thompson/Dido
841,S06E48,2008-11-13,Steve Carell
842,S06E49,2008-11-14,David Archuleta/Minnie Driver
843,S06E50,2008-11-17,Kate Walsh/Brooke Burke/Derek Hough
844,S06E51,2008-11-18,Hugh Laurie
845,S06E52,2008-11-19,Jessica Simpson/Chace Crawford/Brian Boyle
846,S06E53,2008-11-20,Chris Matthews/Miley Cyrus
847,S06E54,2008-11-21,John Travolta/Robert Pattinson
848,S06E55,2008-11-24,Bette Midler/Pink
849,S06E56,2008-11-25,Beyonce
850,S06E57,2008-11-26,Mariah Carey/Milon Simone
851,S06E58,2008-11-27,Stephanie Meyer/Meg Ryan
852,S06E59,2008-11-28,Dolly Parton
853,S06E60,2008-12-01,David Cook/Dr. Drew Pinsky
854,S06E61,2008-12-02,D.L. Hughley/Lady GaGa
855,S06E62,2008-12-03,Noah Wyle/Keane
856,S06E63,2008-12-04,Alison Sweeney/Ludacris
857,S06E64,2008-12-05,Jimmy Smits/Jaden Smith/Katy Perry
858,S06E65,2008-12-08,James Spader/Beyonce/Brian Williams
859,S06E66,2008-12-09,Anthony Lapaglia/Darius Rucker
860,S06E67,2008-12-10,Kate Beckinsale/Adele/Chester Pitts
861,S06E68,2008-12-11,Courteney Cox/Common/Clint Eastwood
862,S06E69,2008-12-12,Amanda Peet/Jon Hamm/Barry Manilow
863,S06E70,2008-12-15,Diddy/John Garcia
864,S06E71,2008-12-16,Britney Spears/Kate Winslet/Anthony Hamilton
865,S06E72,2008-12-17,Jim Carrey/Eric Benet
866,S06E73,2008-12-18,Rosario Dawson/The Plain White T's
867,S06E74,2008-12-19,Carmen Electra/Anna Faris/Pussycat Dolls
868,S06E75,2009-01-05,Eva Mendes/Kevin McKidd
869,S06E76,2009-01-06,Marisa Tomei/Foreigner
870,S06E77,2009-01-07,Akon
871,S06E78,2009-01-08,Anne Hathaway
872,S06E79,2009-01-09,Clint Eastwood/Jason Mesnick
873,S06E80,2009-01-12,Wolf Blitzer
874,S06E81,2009-01-13,Randy Jackson/Dr. Wayne Dyer/Michelle Aguilar
875,S06E82,2009-01-14,Dustin Hoffman/Brandt Bickford
876,S06E83,2009-01-15,Chandra Wilson/Tione Johnson
877,S06E84,2009-01-16,Nicollette Sheridan/The All-American Rejects
878,S06E85,2009-01-19,George Clooney/Kiefer Sutherland/T.I.
879,S06E86,2009-01-20,Beyonce
880,S06E87,2009-01-21,Barack Obama/Jimmy Fallon/Kelli Williams
881,S06E88,2009-01-22,Brendan Fraser/Emily Deschanel
882,S06E89,2009-01-23,Kyra Sedgwick/Howie Mandel
883,S06E90,2009-01-26,"Amy Poehler, James Morrison"
884,S06E91,2009-01-27,"Joey Fatone, O.A.R."
885,S06E92,2009-01-28,"Ted Danson, Ernie Bjorkman"
886,S06E93,2009-01-29,"Kevin Nealon, Chris Harrison"
887,S06E94,2009-01-30,"Alyson Hannigan, Brandon Wilson"
888,S06E95,2009-02-02,"Heidi Klum, Justin Long, Marco Borges"
889,S06E96,2009-02-03,"Josh Brolin, Pink with Butch Walker"
890,S06E97,2009-02-04,"Penelope Cruz, Dylan and Cole Sprouse, Q-Tip"
891,S06E98,2009-02-05,"Drew Barrymore, Taraji P. Henson"
892,S06E99,2009-02-06,"Jennifer Aniston, Stevie Wonder"
893,S06E100,2009-02-09,"John Mayer, Josh Groban, Lady Antebellum, Chester Pitts"
894,S06E101,2009-02-10,"Amy Brenneman, Jason Mraz and Colbie Caillat"
895,S06E102,2009-02-11,"Mel B, Eric Dane, Robin Tunney, Melinda Doolittle"
896,S06E103,2009-02-12,"Steve Harvey, Kurt Warner, Dr. Neil Shaw"
897,S06E104,2009-02-13,"John Legend, Jerry O'Connell"
898,S06E105,2009-02-16,"Simon Baker, Miranda Cosgrove"
899,S06E106,2009-02-17,"The Jonas Brothers, Mel B"
900,S06E107,2009-02-18,"Naomi Watts, Lily Allen"
901,S06E108,2009-02-19,"Jeff Probst, Nick Carter"
902,S06E109,2009-02-20,"George Lopez, Bar Refaeli"
903,S06E110,2009-02-23,"Meredith Vieira, Olivia Wilde"
904,S06E111,2009-02-24,"Richard Simmons, Serena Williams, Raphael Saadiq"
905,S06E112,2009-02-25,"Denise Richards, Chyler Leigh, Fabio Viviani"
906,S06E113,2009-02-26,"Mario Lopez, the Bird and the Bee"
907,S06E114,2009-02-27,"David Arquette, Fall Out Boy"
908,S06E115,2009-03-02,"Neil Patrick Harris, Kaley Cuoco"
909,S06E116,2009-03-03,"Judge Judy Sheindlin, Bret Michaels, Matt Nathanson"
910,S06E117,2009-03-04,"Eric McCormack, Chris Harrison, Anthony LaPaglia, the Fray"
911,S06E118,2009-03-05,"“The Bachelor” runner-up Melissa Rycroft, Kym Douglas"
912,S06E119,2009-03-06,"Jason Mesnick and Molly Malaney, Steve Spangler"
913,S06E120,2009-03-09,Paris Hilton
914,S06E121,2009-03-10,"Carla Gugino, Sean “Diddy” Combs, Taylor Hicks"
915,S06E122,2009-03-11,"Carol Burnett, Taylor Hicks"
916,S06E123,2009-03-12,"Felicity Huffman, Rascal Flatts"
917,S06E124,2009-03-13,"Dwayne “The Rock” Johnson, Elle Fanning"
918,S06E125,2009-03-16,"Portia de Rossi, Jorge Nunez and Jasmine Murray"
919,S06E126,2009-03-17,"Julia Louis-Dreyfus, Andy Samberg"
920,S06E127,2009-03-18,"Zach Braff, Jenna Fischer"
921,S06E128,2009-03-19,"Anderson Cooper, Katy Perry"
922,S06E129,2009-03-20,"Paul Rudd, Gavin Rossdale, 7-year-old golfer Brett Sodetz"
923,S06E130,2009-03-23,"Noah Wyle, ''American Idol'' castoff Alexis Grace"
924,S06E131,2009-03-24,"Kara DioGuardi, M.C. Hammer"
925,S06E132,2009-03-25,"John Stamos, Emily Blunt"
926,S06E133,2009-03-26,Jennifer Hudson
927,S06E134,2009-03-27,"Reese Witherspoon, Bobby Flay"
928,S06E135,2009-03-30,"David Spade, Gilles Marini and Cheryl Burke"
929,S06E136,2009-03-31,"Halle Berry, Flo Rida"
930,S06E137,2009-04-01,"Christina Applegate, Keith Urban"
931,S06E138,2009-04-02,"Howie Mandel, Ben Mckenzie"
932,S06E139,2009-04-03,"Marilu Henner, Lil' Kim and Derek Hough, Martina McBride"
933,S06E140,2009-04-13,"Patricia Arquette, Wayne Hoffman, Rascal Flatts"
934,S06E141,2009-04-14,"Jenny McCarthy, Mary McCormack, Natasha Bedingfield"
935,S06E142,2009-04-15,"Zac Efron, Demi Lovato"
936,S06E143,2009-04-16,"Jessica Lange, Melissa Rycroft, Ludacris"
937,S06E144,2009-04-17,"Drew Barrymore, Barry Watson, the Pussycat Dolls"
938,S06E145,2009-04-20,"Leslie Mann, Rashida Jones, Pussycat Dolls"
939,S06E146,2009-04-21,"Jimmy Kimmel, Marilyn Milian, Brett Dennen"
940,S06E147,2009-04-22,"Jennifer Love Hewitt, Chicago"
941,S06E148,2009-04-23,"Lindsay Lohan, Alec Greven, Prince"
942,S06E149,2009-04-24,"Matthew Perry, Leighton Meester"
943,S06E150,2009-04-27,"Kristin Chenoweth, Anoop Desai and Lil Rounds"
944,S06E151,2009-04-28,"Kate Walsh, Dierks Bentley, Brandt Bickford"
945,S06E152,2009-04-29,"Michael Douglas, Faryl Smith"
946,S06E153,2009-04-30,"Ryan Reynolds, 7-year-old piano prodigy Emily Bear"
947,S06E154,2009-05-01,Matthew McConaughey
948,S06E155,2009-05-04,"Heidi Klum, Annie Duke, ''American Idol'' castoff Matt Giraud"
949,S06E156,2009-05-05,"Simon Cowell, Zachary Quinto, the Black Eyed Peas"
950,S06E157,2009-05-06,"Hugh Jackman, Chris Pine"
951,S06E158,2009-05-07,"Vanessa Hudgens, Steven Purugganan, Kym Douglas"
952,S06E159,2009-05-08,"Ryan Seacrest, Alison Sweeney"
953,S06E160,2009-05-11,"Jon Cryer, Allison Iraheta, Alison Sweeney"
954,S06E161,2009-05-12,"Matthew Fox, Julianne Moore, Lady GaGa"
955,S06E162,2009-05-13,"Jay Leno, Ciara"
956,S06E163,2009-05-14,"Anderson Cooper, Kelly Clarkson"
957,S06E164,2009-05-15,"Ewan McGregor, the winner of ''The Biggest Loser'', Pink"
958,S06E165,2009-05-18,"Jamie Foxx, Marisa Miller, piano prodigy Umi Garrett"
959,S06E166,2009-05-19,"George Lopez, No Doubt"
960,S06E167,2009-05-20,"Ben Stiller, David Cook"
961,S06E168,2009-05-21,"Kevin Nealon, Tamar Geller, Michael Johns"
962,S06E169,2009-05-22,"Queen Latifah, Wayne Dyer, Rob Thomas"
963,S06E170,2009-05-25,Steve Martin
964,S06E171,2009-05-26,"Mandy Moore, Kris Allen"
965,S06E172,2009-06-05,"Jessica Biel, Kathy Freston, Kellie Pickler"
966,S07E01,2009-09-07,Mariah Carey
967,S07E02,2009-09-08,David Beckham
968,S07E03,2009-09-09,The Real Housewives of Atlanta
969,S07E04,2009-09-10,Kate Beckinsale
970,S07E05,2009-09-11,Katherine Heigl
971,S07E06,2009-09-14,Sharon Osbourne
972,S07E07,2009-09-15,Queen Latifah
973,S07E08,2009-09-16,Jennifer Aniston
974,S07E09,2009-09-17,Ted Danson
975,S07E10,2009-09-18,Neil Patrick Harris
976,S07E11,2009-09-21,Jennifer Love Hewitt
977,S07E12,2009-09-22,Jennifer Garner
978,S07E13,2009-09-23,Courteney Cox Arquette
979,S07E14,2009-09-24,Christina Applegate and Dave Annable
980,S07E15,2009-09-25,Patricia Arquette
981,S07E16,2009-09-28,Rebecca Romijn
982,S07E17,2009-09-29,Drew Barrymore
983,S07E18,2009-09-30,Heidi Klum
984,S07E19,2009-10-01,Kate Walsh
985,S07E20,2009-10-02,Felicity Huffman
986,S07E21,2009-10-05,Julia Louis-Dreyfus
987,S07E22,2009-10-06,Rob Lowe
988,S07E23,2009-10-07,Ellen Page
989,S07E24,2009-10-08,Clive Owen
990,S07E25,2009-10-09,Jason Bateman
991,S07E26,2009-10-12,Vince Vaughn
992,S07E27,2009-10-13,Jimmy Smits
993,S07E28,2009-10-14,Alison Sweeney
994,S07E29,2009-10-15,Taye Diggs
995,S07E30,2009-10-16,Marcia Cross
996,S07E31,2009-10-19,Hayden Panettiere
997,S07E32,2009-10-20,Lauren Graham
998,S07E33,2009-10-21,Mario Lopez
999,S07E34,2009-10-22,David Spade
1000,S07E35,2009-10-23,Alyson Hannigan
1001,S07E36,2009-10-26,Hilary Swank
1002,S07E37,2009-10-27,Jimmy Kimmel
1003,S07E38,2009-10-28,Katie Couric
1004,S07E39,2009-10-29,Taylor Swift
1005,S07E40,2009-10-30,Halloween Show
1006,S07E41,2009-11-02,Jim Carrey
1007,S07E42,2009-11-03,Mo'Nique
1008,S07E43,2009-11-04,Mariah Carey
1009,S07E44,2009-11-05,Amy Poehler
1010,S07E45,2009-11-06,Pamela Anderson
1011,S07E46,2009-11-09,George Lopez
1012,S07E47,2009-11-10,Jenny McCarthy
1013,S07E48,2009-11-11,John and Ella Bleu Travolta
1014,S07E49,2009-11-12,Harry Connick Jr.
1015,S07E50,2009-11-13,Ryan Seacrest
1016,S07E51,2009-11-16,Dakota Fanning
1017,S07E52,2009-11-17,Dwayne Johnson
1018,S07E53,2009-11-18,Carrie Underwood
1019,S07E54,2009-11-19,Simon Baker
1020,S07E55,2009-11-20,Robert Pattinson
1021,S07E56,2009-11-23,Jon Bon Jovi
1022,S07E57,2009-11-24,Penélope Cruz
1023,S07E58,2009-11-25,Sandra Bullock
1024,S07E59,2009-11-27,Lady Gaga
1025,S07E60,2009-12-01,Adam Lambert
1026,S07E61,2009-12-02,Matt Dillon
1027,S07E62,2009-12-03,Jennifer Lopez
1028,S07E63,2009-12-04,Tobey Maguire
1029,S07E64,2009-12-07,Zach Braff
1030,S07E65,2009-12-08,Clint Eastwood
1031,S07E66,2009-12-09,Howie Mandel
1032,S07E67,2009-12-10,Steve Harvey
1033,S07E68,2009-12-11,Selena Gomez
1034,S07E69,2009-12-14,Ray Romano
1035,S07E70,2009-12-15,John Mayer
1036,S07E71,2009-12-16,Paris Hilton
1037,S07E72,2009-12-17,Craig Ferguson
1038,S07E73,2009-12-18,John Krasinski
1039,S07E74,2010-01-04,Christian Slater
1040,S07E75,2010-01-05,Helen Mirren
1041,S07E76,2010-01-06,Queen Latifah
1042,S07E77,2010-01-07,Wanda Sykes
1043,S07E78,2010-01-08,Jackie Chan
1044,S07E79,2010-01-11,Matthew Broderick
1045,S07E80,2010-01-12,Bette Midler
1046,S07E81,2010-01-13,Josh Holloway
1047,S07E82,2010-01-14,Edward Norton
1048,S07E83,2010-01-15,Mark Wahlberg
1049,S07E84,2010-01-18,Keith Urban
1050,S07E85,2010-01-19,Jeff Bridges
1051,S07E86,2010-01-20,Dennis Quaid
1052,S07E87,2010-01-21,Colin Firth
1053,S07E88,2010-01-22,Sean Hayes
1054,S07E89,2010-01-25,Valerie Bertinelli
1055,S07E90,2010-01-26,Ellen's birthday show
1056,S07E91,2010-01-27,Jenna Elfman
1057,S07E92,2010-01-28,Mario Lopez
1058,S07E93,2010-01-29,Josh Duhamel
1059,S07E94,2010-02-01,Ellen's Grammy Show
1060,S07E95,2010-02-02,LL Cool J
1061,S07E96,2010-02-03,Ellen Pompeo
1062,S07E97,2010-02-04,Heidi Klum
1063,S07E98,2010-02-05,Super Bowl Show
1064,S07E99,2010-02-08,"1,100th Show"
1065,S07E100,2010-02-09,Bradley Cooper
1066,S07E101,2010-02-10,Demi Moore
1067,S07E102,2010-02-11,Patrick Dempsey
1068,S07E103,2010-02-12,Valentine's Day Show
1069,S07E104,2010-02-15,Eric Dane
1070,S07E105,2010-02-16,Mardi Gras Show
1071,S07E106,2010-02-17,Tracy Morgan
1072,S07E107,2010-02-18,Kate Walsh
1073,S07E108,2010-02-19,Game Week Finale
1074,S07E109,2010-02-22,Randy Jackson
1075,S07E110,2010-02-23,Ewan McGregor
1076,S07E111,2010-02-24,Woody Harrelson
1077,S07E112,2010-02-25,Felicity Huffman
1078,S07E113,2010-02-26,Jimmy Kimmel
1079,S07E114,2010-03-01,David Spade
1080,S07E115,2010-03-02,Lauren Graham
1081,S07E116,2010-03-03,Courtney Cox
1082,S07E117,2010-03-04,Simon Baker
1083,S07E118,2010-03-05,"Jeremy Renner, Lenny Kravitz, Evan Lysacek"
1084,S07E119,2010-03-09,"Nicole Richie, Ben McKenzie"
1085,S07E120,2010-03-10,"Dominic Monaghan, Jonathan Safran Foer"
1086,S07E121,2010-03-11,"Ed Helms, Isaiah Mustafa, Vedera"
1087,S07E122,2010-03-12,"Chris O'Donnell, Melissa Rycroft"
1088,S07E123,2010-03-15,"Demi Moore, Channing Tatum, Michael Buble"
1089,S07E124,2010-03-16,"Julianna Margulies, James Galea, La Roux"
1090,S07E125,2010-03-17,"Ty Burrell, Maria Bartiromo, One eskimO"
1091,S07E126,2010-03-18,"Pamela Anderson, Jose Andres, Jamie Cullum"
1092,S07E127,2010-03-19,"Constance McMillen, Chelsea Handler, Lacey Brown"
1093,S07E128,2010-03-22,"Pierce Brosnan, Betty White, Melanie Fiona"
1094,S07E129,2010-03-23,"Kristin Chenoweth, Jean-Christophe Novelli"
1095,S07E130,2010-03-24,"Gerard Butler, Sonya Fitzpatrick"
1096,S07E131,2010-03-31,"Miley Cyrus, John Corbett, James Dupre"
1097,S07E132,2010-04-01,"Sharon Osbourne, Usher, Paige Miles"
1098,S07E133,2010-04-02,"Mario Lopez, Rascal Flatts"
1099,S07E134,2010-04-05,"Ellen Pompeo, Bubba Watson, Nick Jonas"
1100,S07E135,2010-04-06,"Ryan Seacrest, Mary McCormack, Citizen Cope"
1101,S07E136,2010-04-07,"Emily Deschanel, Shemar Moore, Roberto Martin"
1102,S07E137,2010-04-08,"Martin Lawrence, ''American Idol'' castoff Didi Benami"
1103,S07E138,2010-04-09,"Julie Bowen, Chad Ochocinco, Cheryl Burke"
1104,S07E139,2010-04-12,"Eva Longoria Parker, Crystal Swing"
1105,S07E140,2010-04-13,"Kirstie Alley, Cyndi Lauper, Matthew Morrison"
1106,S07E141,2010-04-14,"Alyson Hannigan, Maria Bartiromo, V.V. Brown"
1107,S07E142,2010-04-15,"David Duchovny, Aziz Ansari, Nikki & Rich"
1108,S07E143,2010-04-16,"Hilary Duff, Andrew Garcia & Alan Jackson"
1109,S07E144,2010-04-19,"Howie Mandel, Tori Spelling, Nicole Scherzinger"
1110,S07E145,2010-04-20,"Lisa Kudrow, B.o.B. featuring Bruno Mars"
1111,S07E146,2010-04-21,"Martin Short, Jerry Weintraub & Gretchen Wilson"
1112,S07E147,2010-04-22,"Wanda Sykes, Evan Lysacek, Jason Castro"
1113,S07E148,2010-04-23,"Jennifer Lopez, Norah Jones"
1114,S07E149,2010-04-26,"Annette Bening, Science Guy Steve Spangler"
1115,S07E150,2010-04-27,"Marisa Tomei, Toni Braxton"
1116,S07E151,2010-04-28,"Jessica Simpson, Shakira"
1117,S07E152,2010-04-29,"Heidi Klum, Chris Colfer"
1118,S07E153,2010-04-30,"Paris Hilton, Kathy Hilton, Siobhan Magnus"
1119,S07E154,2010-05-03,Kiefer Sutherland
1120,S07E155,2010-05-04,"Samuel L. Jackson, Lea Michele, Grace Potter"
1121,S07E156,2010-05-05,"Scarlett Johansson, Melissa Etheridge"
1122,S07E157,2010-05-06,Gwyneth Paltrow
1123,S07E158,2010-05-07,"Dennis Quaid, Michael Bolton, Aaron Kelly"
1124,S07E159,2010-05-10,"Russell Crowe, Eric Stonestreet"
1125,S07E160,2010-05-11,"Julia Louis-Dreyfus, Slash & Adam Levine, Cory Monteith"
1126,S07E161,2010-05-12,"Ryan Phillippe, Miranda Kerr, Court Yard Hounds"
1127,S07E162,2010-05-13,"Rob Lowe, Common"
1128,S07E163,2010-05-14,"Teri Hatcher, Paramore, Michael Lynche"
1129,S07E164,2010-05-17,"Queen Latifah, Justin Bieber"
1130,S07E165,2010-05-18,"Steve Carell, Nikki Reed, James Taylor & Carole King"
1131,S07E166,2010-05-19,"Robert Pattinson, Adam Lambert"
1132,S07E167,2010-05-20,"Antonio Banderas, Weezer"
1133,S07E168,2010-05-21,"Eddie Murphy, Jason Lewis, Casey James"
1134,S07E169,2010-05-24,"Jon Hamm, Natasha Bedingfield, Ali Fedotowsky"
1135,S07E170,2010-05-25,"Simon Cowell, Jack Johnson"
1136,S07E171,2010-05-26,"Greyson Chance, Colin Farrell, Janelle Monae"
1137,S07E172,2010-05-27,"Ashton Kutcher, Chely Wright"
1138,S07E173,2010-05-28,''American Idol'' winner Lee DeWyze
1139,S08E01,2010-09-13,Lady Gaga (MTV Video Music Awards)
1140,S08E02,2010-09-14,Lauren Graham
1141,S08E03,2010-09-15,Jane Lynch
1142,S08E04,2010-09-15,Ben Affleck
1143,S08E05,2010-09-17,Mary-Kate and Ashley Olsen
1144,S08E06,2010-09-20,Courteney Cox
1145,S08E07,2010-09-21,Hugh Laurie
1146,S08E08,2010-09-22,Brooke Shields
1147,S08E09,2010-09-23,Ed Helms
1148,S08E10,2010-09-24,Jimmy Smits
1149,S08E11,2010-09-27,LL Cool J
1150,S08E12,2010-09-28,John Stamos
1151,S08E13,2010-09-29,Patrick Dempsey
1152,S08E14,2010-09-30,Anthony Hopkins (Ellen Hits Broadway)
1153,S08E15,2010-10-01,Jennifer Grey (Breast Cancer Awareness Show)
1154,S08E16,2010-10-04,Ellen Pompeo
1155,S08E17,2010-10-05,Jenny McCarthy
1156,S08E18,2010-10-06,Felicity Huffman
1157,S08E19,2010-10-07,Howie Mandel
1158,S08E20,2010-10-08,Michael C. Hall
1159,S08E21,2010-10-11,Mike “The Situation” Sorrentino & Karina Smirnoff
1160,S08E22,2010-10-12,Bruce Willis
1161,S08E23,2010-10-13,Minnie Driver
1162,S08E24,2010-10-14,Simon Baker
1163,S08E25,2010-10-15,Eva Longoria Parker
1164,S08E26,2010-10-18,Russell Brand
1165,S08E27,2010-10-19,Chris O'Donnell
1166,S08E28,2010-10-20,Jeff Foxworthy
1167,S08E29,2010-10-21,Clint Eastwood
1168,S08E30,2010-10-22,Wanda Sykes
1169,S08E31,2010-10-25,Hilary Duff
1170,S08E32,2010-10-26,Greyson Chance
1171,S08E33,2010-10-27,David Beckham
1172,S08E34,2010-10-28,First Lady Michelle Obama
1173,S08E35,2010-10-29,Vanessa Williams (Halloween Show)
1174,S08E36,2010-11-01,Taylor Swift
1175,S08E37,2010-11-02,Mariah Carey
1176,S08E38,2010-11-03,Sofia Vergara
1177,S08E39,2010-11-04,Portia De Rossi
1178,S08E40,2010-11-05,James Franco
1179,S08E41,2010-11-08,Jim Parsons (Day 1 of Game Week)
1180,S08E42,2010-11-09,Madonna (Day 2 of Game Week)
1181,S08E43,2010-11-10,Queen Latifah (Day 3 of Game Week)
1182,S08E44,2010-11-11,Ricky Martin (Day 4 of Game Week)
1183,S08E45,2010-11-12,Chris Pine (Day 5 of Game Week - Finale)
1184,S08E46,2010-11-15,Halle Berry
1185,S08E47,2010-11-16,Diane Keaton
1186,S08E48,2010-11-17,Russell Crowe
1187,S08E49,2010-11-18,Eric Dane
1188,S08E50,2010-11-19,Christina Aguilera
1189,S08E51,2010-11-22,Justin Timberlake
1190,S08E52,2010-11-23,Eric Stonestreet
1191,S08E53,2010-11-24,Dwayne Johnson
1192,S08E54,2010-11-25,LL Cool J
1193,S08E55,2010-11-26,Heidi Klum/Ne-Yo
1194,S08E56,2010-11-29,Alyson Hannigan
1195,S08E57,2010-11-30,Eva Mendes
1196,S08E58,2010-12-01,Ben Affleck
1197,S08E59,2010-12-02,Taylor Swift (Day 1 of 12 Days of Giveaways)
1198,S08E60,2010-12-03,Hilary Swank (Day 2 of 12 Days of Giveaways)
1199,S08E61,2010-12-06,Nicole Richie (Day 3 of 12 Days of Giveaways)
1200,S08E62,2010-12-07,Ty Burrell (Day 4 of 12 Days of Giveaways)
1201,S08E63,2010-12-08,Katy PerryHelen Mirren (Day 5 of 12 Days of Giveaways)
1202,S08E64,2010-12-09,Keith Urban (Day 6 of Giveaways)
1203,S08E65,2010-12-10,Jane Fonda (Day 7 of Giveaways)
1204,S08E66,2010-12-13,Jamie Foxx (Day 8 of 12 Days of Giveaways)
1205,S08E67,2010-12-14,Steve Carell (Day 9 of 12 Days of Giveaways)
1206,S08E68,2010-12-15,Mark Wahlberg (Day 10 of Giveaways)
1207,S08E69,2010-12-16,Tim McGraw (Day 11 of Giveaways)
1208,S08E70,2010-12-17,Reese Witherspoon (Day 12 of Giveaways)
1209,S08E71,2011-01-03,Ray Romano
1210,S08E72,2011-01-04,Jimmy Kimmel
1211,S08E73,2011-01-05,Macy Gray
1212,S08E74,2011-01-06,Tom Selleck
1213,S08E75,2011-01-07,Ryan Gosling
1214,S08E76,2011-01-10,Dennis Quaid
1215,S08E77,2011-01-11,Paula Abdul
1216,S08E78,2011-01-12,Jenny McCarthy
1217,S08E79,2011-01-13,Ricky Gervais
1218,S08E80,2011-01-14,Vince Vaughn
1219,S08E81,2011-01-17,Seth Rogen
1220,S08E82,2011-01-18,Jennifer Lopez
1221,S08E83,2011-01-19,Natalie Portman
1222,S08E84,2011-01-20,Amy Poehler
1223,S08E85,2011-01-21,Jeff Bridges
1224,S08E86,2011-01-24,Minnie Driver
1225,S08E87,2011-01-25,Drew Brees
1226,S08E88,2011-01-26,Ellen's Surprise Birthday Party!
1227,S08E89,2011-01-27,Anthony Hopkins
1228,S08E90,2011-01-28,Shemar Moore
1229,S08E91,2011-01-31,Jesse Tyler Ferguson
1230,S08E92,2011-02-01,Julianna Margulies
1231,S08E93,2011-02-02,The Real Housewives of Beverly Hills
1232,S08E94,2011-02-03,Jennifer Aniston
1233,S08E95,2011-02-04,Super Bowl Show
1234,S08E96,2011-02-07,"1,300th Show!"
1235,S08E97,2011-02-08,Matthew Perry
1236,S08E98,2011-02-09,Justin Bieber
1237,S08E99,2011-02-10,Clay Matthews
1238,S08E100,2011-02-11,Ricky Martin
1239,S08E101,2011-02-14,Lady Antebellum
1240,S08E102,2011-02-15,Randy Jackson
1241,S08E103,2011-02-16,Liam Neeson
1242,S08E104,2011-02-17,Howie Mandel
1243,S08E105,2011-02-18,Cory Monteith
1244,S08E106,2011-02-21,Mike 'The Situation' Sorrentino
1245,S08E107,2011-02-22,Aaron Rodgers
1246,S08E108,2011-02-23,Kellie Pickler
1247,S08E109,2011-02-24,Pam Anderson
1248,S08E110,2011-02-25,Game Week Finale
1249,S08E111,2011-02-28,Hugh Laurie
1250,S08E112,2011-03-01,Heidi Klum
1251,S08E113,2011-03-02,Matt Damon
1252,S08E114,2011-03-03,Wanda Sykes
1253,S08E115,2011-03-04,Jerry O'Connell
1254,S08E116,2011-03-07,Paris Hilton
1255,S08E117,2011-03-08,Ellen Pompeo
1256,S08E118,2011-03-09,Valerie Bertinelli
1257,S08E119,2011-03-10,Tyra Banks
1258,S08E120,2011-03-11,Ryan Phillippe
1259,S08E121,2011-03-21,Jimmy Fallon
1260,S08E122,2011-03-22,Clive Owen
1261,S08E123,2011-03-23,Vanessa Hudgens
1262,S08E124,2011-03-24,David Schwimmer
1263,S08E125,2011-03-25,Matthew McConaughey
